category_list,funding_total_usd,country_code,funding_rounds,label,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC
curatedweb education parenting publishing,1236454.0,ITA,3,0,7.0,563.0,15659.0,16222
technology,2220000.0,USA,2,0,5.0,151.0,16405.0,16556
art e-commerce socialcommerce,2800000.0,USA,2,0,17.0,304.0,14518.0,14822
advertising directmarketing socialmedia,50000.0,USA,2,0,1.0,0.0,15706.0,15706
delivery hospitality manufacturing,1464128.0,CHN,1,0,2.0,0.0,14631.0,14631
e-commerce,6369507.0,IND,1,0,2.0,0.0,15659.0,15659
bigdata bitcoin hardware+software technology,121050000.0,USA,2,0,10.0,478.0,16026.0,16504
software,2580000.0,SWE,1,0,1.0,0.0,13241.0,13241
software webhosting,396000000.0,CHN,5,1,8.0,2486.0,13922.0,16408
android apps internet iphone mobile salesandmarketing software webdevelopment webtools,250000.0,ISR,1,0,1.0,0.0,15993.0,15993
software,1610541.0,CHN,2,0,1.0,153.0,14730.0,14883
mobile,615000.0,SGP,1,0,1.0,0.0,14985.0,14985
biotechnology search,227049900.0,USA,8,0,23.0,3530.0,13089.0,16619
bloggingplatforms software,50000.0,CAN,1,0,3.0,0.0,15201.0,15201
finance,3452941.0,USA,3,0,2.0,422.0,14907.0,15329
news,1209701.0,SWE,2,0,2.0,122.0,14123.0,14245
edtech education systems,4000000.0,IND,1,0,1.0,0.0,13823.0,13823
hardware+software,600000.0,USA,1,0,3.0,0.0,15649.0,15649
internet,2000000.0,NLD,1,0,1.0,0.0,16535.0,16535
cleantechnology,16000000.0,USA,1,0,3.0,0.0,14837.0,14837
software,50000.0,USA,1,0,1.0,0.0,15118.0,15118
software textbooks,2942768.88931116,ESP,3,0,3.0,938.0,14902.0,15840
services,1856561.0,CHN,2,0,2.0,199.0,16066.0,16265
diy electronics software,25000.0,USA,1,0,1.0,0.0,14635.0,14635
software,2000000.0,CHN,1,0,1.0,0.0,12753.0,12753
e-commerce finance marketplaces,118000.0,USA,1,0,1.0,0.0,15477.0,15477
presentations software,250000.0,USA,2,1,4.0,60.0,13879.0,13939
e-commerce mobilecommerce payments software,10000000.0,SGP,3,0,4.0,1577.0,14975.0,16552
creditcards mobile,8300000.0,RUS,3,0,8.0,1173.0,15584.0,16757
e-commerce,72000000.0,USA,2,0,3.0,426.0,16267.0,16693
cleantechnology,474116.56105524,GBR,4,0,2.0,0.0,16367.0,16367
discounts entertainment internet ticketing,33457.0,FRA,1,0,1.0,0.0,14791.0,14791
curatedweb,966728.0,BEL,2,0,3.0,459.0,15194.0,15653
internetofthings m2m software,4000000.0,USA,1,1,1.0,0.0,16444.0,16444
applicationplatforms healthandwellness mobile mobilehealth software,300000.0,USA,2,0,1.0,305.0,16205.0,16510
software,85000000.0,USA,1,1,1.0,0.0,12872.0,12872
cloudinfrastructure corporateit enterprisesoftware,37644420.0,USA,4,0,5.0,1043.0,15314.0,16357
landscaping naturalresources,20000.0,USA,1,0,1.0,0.0,15795.0,15795
saas technology telecommunications,3167062.0,IRL,1,0,1.0,0.0,11992.0,11992
curatedweb onlinedating socialnetworkmedia,2300000.0,USA,1,0,6.0,0.0,16358.0,16358
messaging,939000.0,USA,1,0,1.0,0.0,13818.0,13818
edtech education software,95875000.0,USA,6,1,24.0,1671.0,14328.0,15999
curatedweb,162000000.0,USA,5,1,24.0,1288.0,10896.0,12184
biotechnology,128477567.0,USA,7,0,13.0,2856.0,13655.0,16511
apps creative design finance mobile photography software,25000.0,USA,1,0,1.0,0.0,15845.0,15845
advertising advertisingplatforms contentdiscovery internet socialmedia socialmediaplatforms socialnetworkmedia,25654560.0,USA,5,0,17.0,1259.0,14281.0,15540
informationtechnology retail software,15000000.0,USA,2,1,4.0,1031.0,11323.0,12354
consumerelectronics software,17800000.0,USA,1,0,3.0,0.0,16293.0,16293
biotechnology lifesciences media news pharmaceuticals,5000000.0,CHN,1,0,1.0,0.0,14396.0,14396
software,7650000.0,CAN,1,0,2.0,0.0,15720.0,15720
communities corporatetraining education,1543920.0,FRA,1,0,2.0,0.0,15978.0,15978
enterprisesoftware,1623640.0,CHN,1,0,1.0,0.0,15765.0,15765
datacenters informationtechnology internet services,16000000.0,USA,1,0,2.0,0.0,16323.0,16323
artificialintelligence fashion technology,609229.0,ESP,4,0,4.0,275.0,15309.0,15584
android apps iphone mobile sports,6700000.0,GBR,2,0,5.0,609.0,15733.0,16342
bloggingplatforms internet publicrelations socialmedia startups,1573976.0,CHN,3,0,3.0,1658.0,15065.0,16723
bitcoin,525000.0,USA,2,0,4.0,78.0,16144.0,16222
mobile,1629549.0,CHN,1,0,1.0,0.0,16130.0,16130
healthandwellness,3750000.0,CHN,2,0,2.0,365.0,13208.0,13573
networking onlinetravel travel,1719583.0,CHE,2,0,3.0,1074.0,15187.0,16261
cloudcomputing communicationshardware contactcenters customerservice internet software voip webdevelopment,75000.0,BRA,1,0,1.0,0.0,15715.0,15715
babies bigdataanalytics e-commerce fashion kids,35000.0,USA,1,0,1.0,0.0,16617.0,16617
customerservice salesandmarketing software telephony,9311190.0,USA,4,0,6.0,904.0,15719.0,16623
enterprisesoftware,7289000.0,USA,3,1,7.0,922.0,14600.0,15522
biotechnology,1465000.0,USA,2,0,1.0,1219.0,14522.0,15741
services,16674.0,NLD,1,0,1.0,0.0,16616.0,16616
3dprinting collaborativeconsumption local marketplaces,4500000.0,NLD,2,0,6.0,371.0,15944.0,16315
3dprinting healthandwellness healthcare,7500.0,USA,1,0,1.0,0.0,16205.0,16205
3d 3dtechnology e-commerce internet onlineshopping,240000.0,USA,2,0,1.0,134.0,16071.0,16205
drones manufacturing,99000000.0,USA,4,0,25.0,899.0,15649.0,16548
software,169500000.0,USA,3,1,1.0,271.0,16085.0,16356
healthcare,16399999.0,IRL,1,0,1.0,0.0,16623.0,16623
businessservices videogames,701760.0,FRA,1,0,1.0,0.0,14407.0,14407
3d medical physicians,1880000.0,USA,4,0,2.0,842.0,15797.0,16639
3dtechnology humancomputerinteraction sensors,50000.0,SVN,1,0,1.0,0.0,16008.0,16008
3d computervision kinect robotics software,2670000.0,RUS,2,0,3.0,639.0,14975.0,15614
3dprinting 3dtechnology printing,30000.0,JOR,1,0,1.0,0.0,16071.0,16071
3dprinting,4247128.0,USA,3,0,2.0,505.0,16166.0,16671
biotechnology,7436500.0,USA,2,0,1.0,1182.0,14393.0,15575
3d mobile,2065000.0,IND,2,0,2.0,974.0,13848.0,14822
android b2b brandmarketing iphone mobile music videostreaming,1700000.0,HUN,2,0,2.0,547.0,14975.0,15522
software,2249999.0,USA,2,1,6.0,733.0,15429.0,16162
music,20000000.0,USA,1,0,1.0,0.0,13243.0,13243
mobile,746185.0,CHN,2,0,3.0,337.0,13208.0,13545
semiconductors,13708150.0,CHN,3,0,5.0,924.0,13745.0,14669
messaging sms,4000000.0,USA,1,0,2.0,0.0,13695.0,13695
webhosting,65000000.0,USA,3,1,11.0,1360.0,12784.0,14144
ios locationbasedservices mobile onlinedating socialmedia,500000.0,GBR,2,0,1.0,527.0,16199.0,16726
biotechnology pharmaceuticals,4783500.0,ESP,2,0,2.0,221.0,13693.0,13914
clouddataservices services software,148000000.0,USA,3,1,12.0,1380.0,11078.0,12458
consulting software,25920000.0,USA,4,0,2.0,1224.0,14638.0,15862
software,1011601.0,USA,3,0,1.0,620.0,14648.0,15268
curatedweb,1500000.0,USA,1,0,1.0,0.0,13430.0,13430
cleantechnology,50000000.0,GBR,1,0,1.0,0.0,15044.0,15044
curatedweb tourism travel,1500000.0,CHN,2,0,2.0,446.0,15015.0,15461
game,1000000.0,JPN,1,0,3.0,0.0,16280.0,16280
mobile,1394250.0,FRA,1,0,2.0,0.0,14197.0,14197
developerapis enterprisesoftware infrastructure services software,5000000.0,USA,2,0,6.0,1100.0,14719.0,15819
biotechnology,7063012.0,USA,4,0,7.0,1192.0,15217.0,16409
physicalsecurity security,13000000.0,USA,1,0,1.0,0.0,11897.0,11897
manufacturing,13780000.0,FRA,1,0,1.0,0.0,14384.0,14384
cleantechnology,15152514.0,GBR,1,0,1.0,0.0,16132.0,16132
software,1670000.0,USA,1,0,7.0,0.0,16540.0,16540
cleantechnology,15000000.0,USA,3,1,2.0,904.0,13761.0,14665
software,272000.0,IRL,1,0,1.0,0.0,13634.0,13634
coupons onlineshopping payments retailtechnology,50958896.6114209,IRL,2,1,4.0,2313.0,13452.0,15765
security,64567194.0,USA,7,0,13.0,3283.0,13165.0,16448
databases electronics storage,26000000.0,USA,1,1,4.0,0.0,12094.0,12094
flashstorage security,3393925.0,USA,2,0,2.0,826.0,13929.0,14755
e-commerce,2374979.0,USA,6,0,9.0,1347.0,15156.0,16503
creativeindustries entertainment television,228187.78333316397,GBR,1,0,1.0,0.0,15887.0,15887
messaging,750000.0,USA,1,0,4.0,0.0,15166.0,15166
security,38064570.0,USA,4,1,10.0,2165.0,13276.0,15441
commercialrealestate realestate,17400000.0,USA,4,0,20.0,518.0,15218.0,15736
webhosting,2258720.0,SWE,1,1,1.0,0.0,13192.0,13192
internet telecommunications,485841.245076705,SWE,2,0,5.0,769.0,15576.0,16345
biotechnology,49656999.0,USA,5,0,4.0,1221.0,15384.0,16605
cleantechnology enterprisesoftware,1160000.0,USA,2,0,1.0,535.0,15584.0,16119
biotechnology,500000.0,CAN,1,0,1.0,0.0,16759.0,16759
automotive cleanenergy cloudcomputing internet software wireless,9416354.0,USA,6,1,2.0,1282.0,13361.0,14643
adtargeting bigdataanalytics mobileadvertising,320288000.0,USA,8,0,31.0,3440.0,12843.0,16283
e-commerce,500000.0,JPN,1,1,1.0,0.0,16295.0,16295
hardware+software,60000000.0,USA,5,0,8.0,3756.0,12951.0,16707
humanresources recruiting socialrecruiting,10511317.0,DEU,1,0,3.0,0.0,12193.0,12193
apps education kids religion,50000.0,USA,1,0,1.0,0.0,15943.0,15943
advertising software,1121078.0,GBR,4,0,6.0,889.0,15043.0,15932
officespace,3607956.0,GBR,1,0,3.0,0.0,16407.0,16407
pets,762500.0,BRA,1,0,1.0,0.0,15946.0,15946
aerospace,95445.0,GBR,1,0,1.0,0.0,16102.0,16102
internet mobile,15000.0,USA,1,0,1.0,0.0,16289.0,16289
games,3500000.0,CHN,1,0,1.0,0.0,14599.0,14599
software,740000.0,USA,2,0,1.0,285.0,15428.0,15713
e-commerce enterprisesoftware loyaltyprograms socialmedia,12900000.0,USA,6,1,31.0,1183.0,14593.0,15776
apps internet photography promotional salesandmarketing,22325000.0,CAN,7,0,20.0,1509.0,15128.0,16637
e-commerce onlineshopping software,5000.0,NGA,1,0,1.0,0.0,16040.0,16040
software,27000000.0,CHN,3,0,8.0,426.0,13269.0,13695
e-commerce,9300000.0,CHN,3,0,6.0,1370.0,12478.0,13848
finance,10000000.0,CHN,2,0,3.0,546.0,13149.0,13695
e-commerce,1158814.0,CHN,2,0,2.0,275.0,15400.0,15675
curatedweb,10000000.0,CHN,1,0,2.0,0.0,13720.0,13720
education,65100000.0,CHN,4,0,4.0,1057.0,15309.0,16366
games,1500000.0,CHN,2,0,3.0,852.0,13970.0,14822
internet,65000000.0,CHN,3,0,6.0,1131.0,15340.0,16471
games,1000000.0,CHN,1,0,1.0,0.0,14579.0,14579
art creative creativeindustries,234705.0,DEU,3,0,3.0,0.0,16556.0,16556
e-commerce,200000000.0,CHN,2,0,4.0,212.0,14944.0,15156
photography,30000000.0,CHN,2,1,8.0,183.0,13665.0,13848
curatedweb internet software,876780000.0,CHN,6,1,6.0,3068.0,13180.0,16248
curatedweb,10000000.0,CHN,1,0,2.0,0.0,16042.0,16042
mobile software webdesign webdevelopment,5100000.0,GBR,1,0,1.0,0.0,16233.0,16233
mobile technology wireless,6100000.0,USA,2,1,1.0,370.0,16021.0,16391
music ticketing webdevelopment,368750.0,ESP,1,0,6.0,0.0,14527.0,14527
education games video,12800000.0,USA,3,1,3.0,844.0,13604.0,14448
art curatedweb photography socialmedia,15873.0,GBR,1,0,1.0,0.0,15418.0,15418
games,3987693.0,KOR,2,1,2.0,1098.0,14853.0,15951
mobile,7000000.0,USA,1,1,1.0,0.0,14043.0,14043
games mobile mobilegames onlinegaming,3000000.0,USA,1,0,2.0,0.0,16267.0,16267
advertising internet internetmarketing,17129760.0,USA,4,1,5.0,511.0,14412.0,14923
accounting businessdevelopment finance software webdevelopment,1300000.0,GBR,3,1,3.0,569.0,14424.0,14993
browserextensions curatedweb socialmedia,100000.0,USA,1,0,1.0,0.0,14883.0,14883
software,3050000.0,USA,3,1,2.0,122.0,16241.0,16363
webhosting,3019139.0,USA,2,0,2.0,598.0,15209.0,15807
informationservices informationtechnology internetmarketing seo,100000.0,USA,1,0,1.0,0.0,16372.0,16372
enterprisesoftware,37143865.0,USA,5,0,3.0,1774.0,14844.0,16618
concentratedsolarpower manufacturing solar,5714285.71428571,CAN,1,1,2.0,0.0,13708.0,13708
mobile,1000000.0,CHN,2,0,3.0,212.0,16071.0,16283
photography,30500000.0,CHN,3,0,6.0,1887.0,13453.0,15340
b2b predictiveanalytics salesandmarketing,32000000.0,USA,3,0,7.0,672.0,15813.0,16485
healthandwellness specialtyfoods,8000000.0,USA,2,0,7.0,1.0,16324.0,16325
finance,3134880.0,ITA,1,0,1.0,0.0,15413.0,15413
software,6700000.0,USA,2,1,3.0,446.0,13098.0,13544
socialnetworkmedia,1556687.0,GBR,3,0,1.0,365.0,16384.0,16749
android apps cloudcomputing collaboration email finance home&garden internet ios ipad iphone mac productivitysoftware software synchronization taskmanagement webdevelopment,23857750.0,DEU,5,1,7.0,1057.0,14964.0,16021
analytics e-commerce software,6528902.0,USA,3,0,1.0,1250.0,14284.0,15534
enterprisesoftware,295000.0,JPN,1,0,2.0,0.0,15883.0,15883
developmentplatforms games onlinegaming,150000.0,ISR,1,0,2.0,0.0,16023.0,16023
games,10000000.0,USA,1,0,1.0,0.0,14804.0,14804
bicycles communities,15000000.0,CHN,1,0,3.0,0.0,16520.0,16520
analytics networksecurity shipping smallandmediumbusinesses startups,2450000.0,USA,5,0,6.0,810.0,15419.0,16229
advertising consumers e-commerce mobilecommerce retail saas software,1500000.0,USA,2,0,2.0,311.0,15273.0,15584
cleantechnology,16036000.0,USA,6,0,2.0,1291.0,15321.0,16612
socialmedia,47570.0,GBR,1,0,1.0,0.0,15437.0,15437
contentcreators contentdelivery licensing music musicservices technology,20068328.451591,GBR,4,1,3.0,3007.0,13027.0,16034
games,1136548.0,CHN,2,0,3.0,893.0,14730.0,15623
analytics b2b bigdata businessintelligence enterprises enterprisesoftware finance mobile saas,3000000.0,USA,1,0,1.0,0.0,16673.0,16673
webhosting,9850000.0,USA,4,0,7.0,1018.0,14975.0,15993
brandmarketing communities consulting semanticsearch seo,600000.0,USA,3,0,2.0,1581.0,14610.0,16191
publishing,269260.0,NLD,2,0,4.0,84.0,15797.0,15881
apps,500000.0,GBR,1,0,1.0,0.0,16517.0,16517
design internet sharedservices,4500000.0,USA,2,0,1.0,396.0,15887.0,16283
financetechnology fintech mobile personalfinance technology wealthmanagement,17000000.0,HKG,2,0,8.0,941.0,15343.0,16284
advertising email loyaltyprograms mobile saas salesandmarketing socialmedia software,2100000.0,CAN,1,0,1.0,0.0,14463.0,14463
homedecor interiordesign internet,25000.0,USA,2,0,2.0,348.0,14398.0,14746
services,77000000.0,USA,2,0,15.0,560.0,10925.0,11485
crowdsourcing design graphics,25000.0,USA,3,0,3.0,469.0,15273.0,15742
entertainment games media,55398.0,ESP,1,0,1.0,0.0,16191.0,16191
advertising contentdiscovery,140000.0,GBR,2,0,8.0,150.0,16102.0,16252
games virtualworlds,12250000.0,USA,2,0,2.0,1013.0,13939.0,14952
exercise fitness tracking,2730000.0,USA,3,0,3.0,551.0,16127.0,16678
messaging publicrelations socialmedia,1500000.0,ISR,2,0,4.0,0.0,13879.0,13879
cleantechnology,30000000.0,USA,1,0,1.0,0.0,16238.0,16238
music,5279980.0,USA,3,0,6.0,958.0,15639.0,16597
travel,24600000.0,CHN,1,0,2.0,0.0,16022.0,16022
analytics apps bigdata e-commerce education enterprisesoftware internetofthings media mobile payments saas socialmedia,150000.0,SGP,1,0,1.0,0.0,16040.0,16040
consulting,4500000.0,USA,2,0,1.0,54.0,15897.0,15951
manufacturing,29300000.0,USA,4,0,14.0,973.0,15588.0,16561
media news publishing soccer sports,38800000.0,GBR,3,0,9.0,882.0,15832.0,16714
mobile,20000000.0,CHN,1,0,2.0,0.0,15309.0,15309
mobile,30000000.0,CHN,1,1,3.0,0.0,15309.0,15309
foodprocessing,3000000.0,USA,2,0,2.0,349.0,16394.0,16743
socialmedia,4502251.0,CHN,1,0,1.0,0.0,14944.0,14944
applicationplatforms developmentplatforms masscustomization,9000000.0,CHN,1,0,5.0,0.0,16518.0,16518
finance,63590263.0,CHN,1,0,1.0,0.0,15034.0,15034
curatedweb finance,19790000.0,CHN,3,0,7.0,989.0,15248.0,16237
mobile,1000000.0,IND,1,0,1.0,0.0,16372.0,16372
mobile publishing,10450000.0,USA,3,0,15.0,1019.0,14982.0,16001
localbusinesses,2160000.0,SGP,2,0,7.0,268.0,16196.0,16464
e-commerce payments,83574271.0,CHN,5,1,5.0,2681.0,13007.0,15688
e-commerceplatforms manufacturing materialscience,500000.0,USA,2,0,2.0,373.0,16008.0,16381
crowdsourcing design marketplaces onlineshopping,45000000.0,USA,2,0,6.0,1448.0,15092.0,16540
fashion filesharing,105651.0,AUS,2,0,4.0,63.0,15429.0,15492
e-commerce trading videogames,100000.0,USA,1,0,1.0,0.0,16375.0,16375
automotive,75000000.0,CHN,1,0,2.0,0.0,15553.0,15553
apps logistics postalandcourierservices,442943.0,BRA,1,0,1.0,0.0,16301.0,16301
e-commerce socialcommerce,20000.0,IND,1,0,1.0,0.0,15584.0,15584
manufacturing,7575757.0,CHN,1,0,1.0,0.0,14975.0,14975
android ios mobile mobilepayments saas taxis,25000000.0,BRA,3,0,8.0,642.0,15891.0,16533
software,210000.0,IND,3,0,1.0,964.0,14944.0,15908
e-commerce,9600000.0,CHN,2,0,3.0,1095.0,12784.0,13879
socialmedia,2800000.0,HKG,2,0,8.0,440.0,15111.0,15551
businessanalytics enterprisesoftware saas software,7200000.0,USA,3,0,5.0,533.0,15960.0,16493
software technology,900000.0,USA,1,0,6.0,0.0,16013.0,16013
enterprises enterprisesoftware ipad presentations saas training,925000.0,USA,2,1,3.0,126.0,15855.0,15981
games virtualworlds,100000000.0,CHN,1,0,1.0,0.0,13958.0,13958
digitalmedia news socialmedia,3500000.0,USA,1,0,2.0,0.0,16513.0,16513
chemicals,2500000.0,USA,1,0,4.0,0.0,16489.0,16489
innovationengineering manufacturing waterpurification,110000000.0,USA,1,0,1.0,0.0,16311.0,16311
games socialgames,10312103.0,USA,2,0,12.0,375.0,14683.0,15058
games,560248.0,ESP,1,0,3.0,0.0,16405.0,16405
e-commerce,50000.0,USA,1,0,1.0,0.0,15431.0,15431
biotechnology,2100002.0,USA,2,0,3.0,1692.0,13034.0,14726
cleantechnology,115837966.0,GBR,1,0,1.0,0.0,15085.0,15085
consumergoods manufacturing newproductdevelopment,5000000.0,CHN,1,0,1.0,0.0,16457.0,16457
mobile,14300000.0,USA,3,0,2.0,1036.0,12965.0,14001
games,9300000.0,USA,1,0,1.0,0.0,15299.0,15299
charity financialservices medical,50000.0,USA,1,0,1.0,0.0,16008.0,16008
finance,6410000.0,IND,1,0,2.0,0.0,14131.0,14131
pets,569355.0,GBR,1,0,1.0,0.0,16344.0,16344
android businessproductivity crm ios ipad iphone mobile pointofsale productivitysoftware,20000.0,USA,2,0,1.0,140.0,16357.0,16497
cloudcomputing communicationshardware hardware networking optimization security seo technology virtualization webhosting,118000000.0,USA,4,1,13.0,3197.0,12784.0,15981
batteries cleantechnology energystorage mobile,502860000.0,USA,8,1,12.0,2410.0,13088.0,15498
music,50000000.0,CHN,2,1,5.0,433.0,12692.0,13125
curatedweb,1623640.0,CHN,2,0,1.0,214.0,15765.0,15979
mobile,16474.0,CHN,1,0,1.0,0.0,16102.0,16102
biotechnology,500000.0,USA,1,0,1.0,0.0,14977.0,14977
search,6000000.0,USA,2,1,12.0,639.0,13514.0,14153
applicationplatforms communicationsinfrastructure storage,14000000.0,USA,3,1,5.0,758.0,11535.0,12293
consulting recruiting,3100000.0,IND,2,0,2.0,43.0,16420.0,16463
humanresources,20000000.0,USA,1,0,1.0,0.0,16225.0,16225
biotechnology,40000000.0,USA,1,1,1.0,0.0,15408.0,15408
telecommunications,180000000.0,USA,1,0,4.0,0.0,12370.0,12370
socialmedia,442457.0,BRA,3,0,2.0,489.0,15337.0,15826
mobile,4260000.0,FIN,1,0,1.0,0.0,14398.0,14398
healthcareinformationtechnology medical therapeutics,12000000.0,FRA,1,0,2.0,0.0,16175.0,16175
finance,4900000.0,NGA,1,0,1.0,0.0,16120.0,16120
advertising analytics e-commerce optimization testing,1412834.0,FRA,1,0,2.0,0.0,16336.0,16336
edtech education,3356695.0,ESP,1,0,1.0,0.0,16280.0,16280
software,3409315.0,GBR,1,0,1.0,0.0,15918.0,15918
saas software,3500000.0,USA,2,0,14.0,301.0,16071.0,16372
digitalmedia salesandmarketing socialmedia,41250.0,HKG,1,0,1.0,0.0,16071.0,16071
music videoediting webdevelopment,263400.0,IRL,1,0,2.0,0.0,13514.0,13514
software,1770000.0,FRA,1,1,2.0,0.0,13095.0,13095
software,4540000.0,DEU,1,0,3.0,0.0,13216.0,13216
curatedweb,4400000.0,USA,2,0,5.0,1095.0,13273.0,14368
e-commerce fashion women,875000.0,USA,5,1,3.0,346.0,15916.0,16262
businessservices,375000.0,RUS,1,0,1.0,0.0,15609.0,15609
biotechnology,2000000.0,CAN,1,0,1.0,0.0,16188.0,16188
biotechnology,805908.0,GBR,1,0,2.0,0.0,13777.0,13777
biotechnology,10207905.0,GBR,4,0,8.0,1454.0,15119.0,16573
healthcare,2012700.0,USA,1,0,1.0,0.0,15308.0,15308
biotechnology,12850000.0,USA,3,0,1.0,589.0,16055.0,16644
e-commerce,19148000.0,USA,5,0,21.0,1319.0,14789.0,16108
healthcare,583000000.0,USA,4,0,5.0,2671.0,13496.0,16167
curatedweb healthandwellness healthcare internet medical psychology teachers technology therapeutics voip webdevelopment,21000000.0,USA,3,0,8.0,756.0,15839.0,16595
curatedweb privacy,6467283.0,USA,1,0,2.0,0.0,15167.0,15167
healthcare healthdiagnostics,12853396.0,GBR,3,0,2.0,1191.0,15425.0,16616
biotechnology robotics technology,50000.0,USA,1,0,2.0,0.0,16469.0,16469
cloudcomputing cloudinfrastructure cloudmanagement m2m opensource software virtualization webhosting,26898770.0,USA,10,0,13.0,2778.0,13879.0,16657
accounting consulting crm marketingautomation projectmanagement,500000.0,USA,1,0,1.0,0.0,14160.0,14160
innovationengineering medical medicaldevices,21800000.0,USA,1,1,7.0,0.0,13711.0,13711
biotechnology,42980577.0,USA,7,0,4.0,1408.0,15343.0,16751
collaboration credit curatedweb entrepreneur finance fintech smallandmediumbusinesses,17500000.0,USA,4,0,27.0,1352.0,15320.0,16672
m2m software,50000.0,USA,1,0,1.0,0.0,15579.0,15579
biotechnology,12000000.0,USA,1,0,2.0,0.0,14764.0,14764
